ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,SIZE,PDI
15.0,0.0,5.0,0.0,0.25,3.0,MQ,180.646,0.132
0.0,9.576,3.192,3.192,2.17,1.6,MQ,100.593,0.152
0.0,10.056,3.3520000000000003,3.3520000000000003,0.25,7.0,MQ,124.162,0.316
0.0,9.576,3.192,3.192,1.375,1.0,MQ,157.64,0.409
0.0,11.25,0.0,3.75,1.0,50.0,MQ,141.591,0.597
2.437034408632514,0.0,1.0310812245632734,1.918327084973226,2.5,2.5,PBS,124.961785350713,0.187131611317078
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,73.901,0.327
0.0,9.576,3.192,3.192,1.375,3.0,MQ,80.541,0.212
24.779,0.0,10.121,0.0,1.375,3.0,MQ,158.912,0.087
0.0,10.972990928305936,1.5466218368449105,5.754981254919678,1.0,2.5,PBS,138.8,0.236
3.6555516129487713,0.0,0.5155406122816367,0.9591635424866132,1.0,2.5,PBS,220.676299240302,0.299704979424076
0.0,11.5644,1.3408000000000002,3.8548,0.71,2.0,MQ,87.575,0.327
0.0,13.943547534248028,8.598257683523885,12.8,2.5,4.0,PBS,97.7,0.262
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,184.984,0.149
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,72.999,0.295
0.0,13.943547534248028,8.598257683523885,12.8,2.5,8.0,PBS,81.3,0.235
0.0,8.547600000000001,5.363200000000001,2.8492,0.71,2.0,MQ,96.056,0.164
12.026982212493198,0.0,7.973017787506802,0.0,0.7060709978109694,4.189207115002722,MQ,107.586,0.059
24.779,0.0,10.121,0.0,2.17,4.4,MQ,125.978,0.027
24.779,0.0,10.121,0.0,1.375,3.0,MQ,139.883,0.062
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,1.8107928849972788,MQ,4941.821,1.0
24.779,0.0,10.121,0.0,0.58,1.6,MQ,189.764,0.195
24.779,0.0,10.121,0.0,2.17,4.4,MQ,117.314,0.046
16.258078863117323,0.0,6.878606146819108,12.79764984945341,2.5,6.0,PBS,96.0,0.274
0.0,8.547600000000001,5.363200000000001,2.8492,2.5,3.467368504525317,MQ,57.03,0.219
24.779,0.0,10.121,0.0,2.17,1.6,MQ,303.927,0.274
0.0,9.576,3.192,3.192,2.17,1.727,MQ,96.467,0.2
20.0,0.0,20.0,0.0,0.25,50.0,PBS,122.961,0.236
0.0,9.576,3.192,3.192,0.25,3.0,MQ,148.899,0.356
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,1.0,MQ,139.797,0.387
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,76.425,0.288
24.779,0.0,10.121,0.0,0.58,4.4,MQ,159.526,0.071
15.0,0.0,5.0,0.0,2.5,3.0,MQ,147.238,0.042
0.0,13.943547534248028,8.598257683523885,12.8,2.5,8.0,PBS,92.9,0.248
19.509694635740782,0.0,5.15895461011433,12.79764984945341,2.5,8.0,PBS,77.0,0.17
15.0,0.0,5.0,0.0,1.375,3.0,MQ,162.092,0.065
5.0,0.0,0.0,0.0,0.25,50.0,MQ,109.153,0.284
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,50.0,MQ,81.069,0.312
16.258078863117323,0.0,6.878606146819108,12.79764984945341,2.5,6.0,PBS,94.0,0.244
0.0,3.0,1.0,1.0,0.25,3.0,MQ,117.567,0.327
0.0,10.056,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,77.533,0.291
20.0,0.0,0.0,0.0,0.25,3.0,PBS,6478.919,1.0
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,76.921,0.273
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,81.85,0.335
3.6555516129487713,0.0,0.5155406122816367,0.9591635424866132,1.0,5.0,PBS,4006.80506004553,0.454017231032364
0.0,9.576,3.192,3.192,1.375,3.0,MQ,155.532,0.297
24.779,0.0,10.121,0.0,1.375,3.0,MQ,146.755,0.081
20.0,0.0,20.0,0.0,0.25,3.0,MQ,108.176,0.106
24.779,0.0,10.121,0.0,1.375,3.0,MQ,161.035,0.061
0.0,9.576,3.192,3.192,2.5,3.0,MQ,66.672,0.27
0.0,9.576,3.192,3.192,2.5,3.0,MQ,68.868,0.23
0.0,9.576,3.192,3.192,2.17,1.727,MQ,83.115,0.203
0.0,3.75,0.0,1.25,1.0,3.0,PBS,77.448,0.233
0.0,11.5644,1.3408000000000002,3.8548,0.71,23.0,MQ,104.721,0.372
0.0,9.576,3.192,3.192,1.375,3.0,MQ,83.866,0.251
15.0,0.0,5.0,0.0,1.375,3.0,MQ,175.564,0.162
0.0,9.576,3.192,3.192,1.375,3.0,MQ,76.14,0.247
0.0,11.5644,1.3408000000000002,3.8548,2.04,23.0,MQ,94.499,0.355
4.95,0.0,3.05,0.0,2.0,7.0,PBS,98.0,0.152
17.973017787506805,0.0,2.0269822124931967,0.0,2.0439290021890306,4.189207115002722,MQ,198.087,0.236
15.0,0.0,5.0,0.0,1.375,3.0,MQ,127.517,0.042
0.0,10.056,3.3520000000000003,3.3520000000000003,2.5,7.0,MQ,74.457,0.285
15.0,0.0,5.0,0.0,1.375,3.0,MQ,181.41,0.143
10.0,0.0,10.0,0.0,1.375,3.0,MQ,85.607,0.066
5.0,0.0,0.0,0.0,1.0,3.0,PBS,2254.269,1.0
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,4.189207115002722,MQ,84.319,0.059
0.0,3.0,1.0,1.0,1.0,3.0,PBS,73.088,0.238
0.0,12.570000000000002,0.0,4.19,1.37,7.0,MQ,86.352,0.269
10.235544516256562,0.0,1.5466218368449105,5.754981254919678,1.0,2.5,PBS,843.290836894877,0.238162474080819
20.0,0.0,0.0,0.0,1.375,3.0,MQ,4813.381,1.0
0.0,7.837850663075668,3.093243673689821,5.754981254919678,1.0,5.0,PBS,91.5,0.204
13.006463090493858,0.0,8.598257683523885,12.79764984945341,2.5,4.0,PBS,94.0,0.179
24.779,0.0,10.121,0.0,0.58,4.4,MQ,157.882,0.088
0.0,15.77363814811808,7.695440626753877,12.79764984945341,2.5,8.0,PBS,98.3,0.242
0.0,9.576,3.192,3.192,0.58,4.4,MQ,102.589,0.262
0.0,7.542000000000001,6.704000000000001,2.514,1.37,7.0,MQ,67.366,0.273
16.508429893545436,0.0,0.0,0.0,0.4245785053227282,3.0,PBS,5495.541556651116,1.0
12.276495694918939,0.0,8.095549836950457,11.638100426194946,2.4546967827335897,4.271819303598463,PBS,94.36242573813128,0.17655362626761384
0.0,9.754197147078889,4.955490329641701,8.27991784639621,1.927579013999631,5.901123051331981,PBS,145.00050791613992,0.2640210274793737
