ID,ML,CHIP,ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,OUTPUT,SIZE,PDI
03SD,HSPC,Droplet,0.0,9.0,3.0,3.0,0.25,50.0,MQ,NO,169.247,0.531
07SD,HSPC,Droplet,0.0,9.0,3.0,3.0,1.0,3.0,PBS,NO,242.045,0.591
08SD,HSPC,Droplet,0.0,3.0,1.0,1.0,1.0,50.0,MQ,YES,19.897,0.443
09SD,HSPC,Droplet,0.0,3.75,0.0,1.25,1.0,50.0,PBS,NO,593.99,0.61
11SD,HSPC,Droplet,0.0,11.25,0.0,3.75,0.25,3.0,PBS,YES,325.634,0.489
12SD,HSPC,Droplet,0.0,3.75,0.0,1.25,0.25,3.0,MQ,NO,277.332,0.735
13SD,HSPC,Droplet,0.0,11.25,0.0,3.75,1.0,50.0,PBS,YES,52.067,0.26
14SD,HSPC,Droplet,0.0,3.0,1.0,1.0,0.25,50.0,PBS,YES,101.454,0.35
16SD,HSPC,Droplet,0.0,11.25,0.0,3.75,0.25,50.0,MQ,YES,177.522,0.431
17SD,HSPC,Droplet,0.0,3.0,1.0,1.0,0.25,3.0,PBS,NO,255.405,0.783
18SD,HSPC,Droplet,0.0,3.75,0.0,1.25,1.0,3.0,MQ,NO,198.619,0.519
22SD,HSPC,Droplet,0.0,9.0,3.0,3.0,1.0,3.0,MQ,YES,146.776,0.44
03SM,ESM,Droplet,20.0,0.0,20.0,0.0,0.25,50.0,MQ,YES,133.051,0.186
07SM,ESM,Droplet,20.0,0.0,20.0,0.0,1.0,3.0,PBS,YES,163.558,0.316
08SM,ESM,Droplet,5.0,0.0,5.0,0.0,1.0,50.0,MQ,YES,69.723,0.067
09SM,ESM,Droplet,5.0,0.0,0.0,0.0,1.0,50.0,PBS,NO,1794.372,0.936
11SM,ESM,Droplet,20.0,0.0,0.0,0.0,0.25,3.0,PBS,NO,1242.327,0.826
12SM,ESM,Droplet,5.0,0.0,0.0,0.0,0.25,3.0,MQ,NO,2100.262,0.999
13SM,ESM,Droplet,20.0,0.0,0.0,0.0,1.0,50.0,PBS,NO,1787.444,0.994
14SM,ESM,Droplet,5.0,0.0,5.0,0.0,0.25,50.0,PBS,YES,133.599,0.269
16SM,ESM,Droplet,20.0,0.0,0.0,0.0,0.25,50.0,MQ,NO,731.331,0.991
17SM,ESM,Droplet,5.0,0.0,5.0,0.0,0.25,3.0,PBS,NO,571.168,0.558
18SM,ESM,Droplet,5.0,0.0,0.0,0.0,1.0,3.0,MQ,NO,554.177,0.595
22SM,ESM,Droplet,20.0,0.0,20.0,0.0,1.0,3.0,MQ,YES,116.98,0.128
